boro,cuisine_description,grade,violation_description,violation_count
0,Italian,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Italian,A,Hot TCS food item not held at or above 140 °F.,1
0,Italian,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Japanese,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Japanese,A,Hot TCS food item not held at or above 140 °F.,1
0,Japanese,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Japanese,A,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,Japanese,A,Thawing procedure improper.,1
0,Japanese,A,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",1
0,Jewish/Kosher,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Jewish/Kosher,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Jewish/Kosher,A,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,Jewish/Kosher,C,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Jewish/Kosher,C,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,Jewish/Kosher,C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",1
0,Jewish/Kosher,C,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Jewish/Kosher,C,Evidence of mice or live mice in establishment's food or non-food areas.,1
0,Jewish/Kosher,C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Jewish/Kosher,C,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",1
0,Jewish/Kosher,C,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Jewish/Kosher,C,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,Jewish/Kosher,C,Thawing procedure improper.,1
0,"Juice, Smoothies, Fruit Salads",A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
0,"Juice, Smoothies, Fruit Salads",A,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
0,Korean,A,Hot TCS food item not held at or above 140 °F.,1
0,Korean,A,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",1
0,Latin American,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,Latin American,A,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",1
0,Latin American,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Latin American,A,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
0,Mexican,A,Hot TCS food item not held at or above 140 °F.,1
0,Mexican,A,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",1
0,Middle Eastern,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Middle Eastern,A,Hot TCS food item not held at or above 140 °F.,1
0,Middle Eastern,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
0,New American,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,New American,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,New American,A,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",1
0,New American,A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,New American,A,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",1
0,New American,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,New American,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,New American,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Pizza,A,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",1
0,Pizza,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Pizza,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Pizza,A,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,Pizza,B,Hot TCS food item not held at or above 140 °F.,1
0,Pizza,B,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",1
0,Sandwiches/Salads/Mixed Buffet,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,2
0,Sandwiches/Salads/Mixed Buffet,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Sandwiches/Salads/Mixed Buffet,A,Wash hands sign not posted near or above hand washing sink.,1
0,Seafood,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Seafood,A,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
0,Seafood,B,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",1
0,Seafood,B,Evidence of rats or live rats in establishment's food or non-food areas.,1
0,Seafood,B,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Seafood,B,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",1
0,Soups/Salads/Sandwiches,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,1
0,Soups/Salads/Sandwiches,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,1
0,Soups/Salads/Sandwiches,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Soups/Salads/Sandwiches,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
0,Spanish,A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,1
0,Spanish,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
0,Spanish,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
0,Spanish,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
0,Spanish,A,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",1
0,Spanish,A,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",1
0,Spanish,C,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
Bronx,Afghan,A,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",1
Bronx,Afghan,A,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,1
Bronx,Afghan,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",1
Bronx,Afghan,A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,1
Bronx,Afghan,A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",1
Bronx,African,A,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",1
Bronx,African,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,12
Bronx,African,A,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,4
Bronx,African,A,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",1
Bronx,African,A,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",2
Bronx,African,A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",10
Bronx,African,A,Evidence of mice or live mice in establishment's food or non-food areas.,6
Bronx,African,A,Evidence of rats or live rats in establishment's food or non-food areas.,2
Bronx,African,A,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",5
Bronx,African,A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,2
Bronx,African,A,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",4
Bronx,African,A,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",3
Bronx,African,A,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",1
Bronx,African,A,Hot TCS food item not held at or above 140 °F.,12
Bronx,African,A,"Juice packaged on premises with no or incomplete label, no warning statement",1
Bronx,African,A,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",3
Bronx,African,A,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",24
Bronx,African,A,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",1
Bronx,African,A,"Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding.",1
Bronx,African,A,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
Bronx,African,A,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1
Bronx,African,A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",2
Bronx,African,A,Thawing procedure improper.,3
Bronx,African,A,Wash hands sign not posted near or above hand washing sink.,1
Bronx,African,B,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,3
Bronx,African,B,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",4
Bronx,African,B,Evidence of mice or live mice in establishment's food or non-food areas.,1
Bronx,African,B,Evidence of rats or live rats in establishment's food or non-food areas.,4
Bronx,African,B,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",2
Bronx,African,B,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,2
Bronx,African,B,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",1
Bronx,African,B,Hot TCS food item not held at or above 140 °F.,4
Bronx,African,B,Live roaches in facility's food or non-food area.,1
Bronx,African,B,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2
Bronx,African,B,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1
Bronx,African,C,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",1
Bronx,African,C,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",1
Bronx,African,C,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,2
Bronx,African,C,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,2
Bronx,African,C,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",3
Bronx,African,C,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",5
Bronx,African,C,Evidence of mice or live mice in establishment's food or non-food areas.,3
Bronx,African,C,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",3
Bronx,African,C,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,5
Bronx,African,C,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1
Bronx,African,C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",6
Bronx,African,C,Hot TCS food item not held at or above 140 °F.,4
Bronx,African,C,"Juice packaged on premises with no or incomplete label, no warning statement",4
Bronx,African,C,Live roaches in facility's food or non-food area.,3
Bronx,African,C,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",1
Bronx,African,C,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4
Bronx,African,C,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,1
Bronx,African,C,Thawing procedure improper.,1
Bronx,African,C,"Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area.",1
Bronx,American,A,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",14
Bronx,American,A,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours.",2
Bronx,American,A,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",2
Bronx,American,A,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,147
Bronx,American,A,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",1
